Source_File,Archive,Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size,algo_label,series
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-6.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,46.15563178062439,4,1.0,False,5,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-7.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.3315920622964725,6.5967261949971885,89.14255952835083,17,1.0,False,5,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-8.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,94.63911175727844,10,1.0,False,6,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-9.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,211.68205976486206,28,1.0,False,7,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-10.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,24.05872106552124,1,1.0,,7,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-11.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,26.203433752059937,1,1.0,,8,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-12.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,25.429118633270264,1,1.0,,8,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-13.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,28.333982229232788,1,1.0,,9,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-14.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,28.318699598312378,1,1.0,,9,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-15.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,27.73571252822876,1,1.0,,10,EfficientBFS,EfficientBFS (ub2)
