Archive,Task,Ground_Size,Algorithm,Strategy,UB,Alpha,Budget,Objective_f(S),Node_Count,Time_s,Cost_c(S),algo_label,series
108,adult,111,EfficientBranchAndBound,none,ub0,0.95,8.0,8.120308338114878,8.0,10.189254999160767,7.606156453874604,EBB,EBB (ub0)
108,adult,111,EfficientBranchAndBound,none,ub0,0.95,14.0,9.15488859753139,1.0,2.998389482498169,13.361953606101252,EBB,EBB (ub0)
108,adult,111,EfficientBranchAndBound,none,ub0,0.95,15.0,9.15488859753139,1.0,3.2679431438446045,14.411698881418511,EBB,EBB (ub0)
108,adult,111,EfficientBranchAndBound,none,ub0,0.98,6.0,7.206554549128117,5.0,6.055053472518921,5.836918288895902,EBB,EBB (ub0)
108,adult,111,EfficientBranchAndBound,none,ub0,0.98,8.0,8.120308338114878,11.0,14.050461769104004,7.606156453874604,EBB,EBB (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,6.0,332.9995976277473,1.0,209.80914998054504,5.973043973728588,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,7.0,381.6827077759318,1.0,201.12062621116638,6.988963521608006,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,8.0,400.23535000729504,2.0,278.35006284713745,7.994854452931519,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,9.0,435.99797546790063,5.0,556.0512075424194,8.29148845285618,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,10.0,479.7616192356273,3.0,360.5310981273651,9.376415862154637,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,11.0,535.0740645548774,1.0,174.17266988754272,10.81933786109785,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,12.0,575.8371528682162,1.0,177.95186376571655,11.957783788078373,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,13.0,601.2784189472019,3.0,358.93483567237854,12.982269016325954,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,14.0,626.8395919257168,9.0,900.8721780776978,13.812851698243652,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.95,15.0,678.7285939257744,3.0,365.2627775669098,14.887483293791728,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,6.0,332.9995976277473,1.0,303.63699555397034,5.973043973728588,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,7.0,381.6827077759318,1.0,279.114559173584,6.988963521608006,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,8.0,407.64305825897264,15.0,1552.4825539588928,7.850697868579635,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,9.0,448.33609283488715,23.0,2328.047957420349,8.830875774531378,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,10.0,491.76770842584773,15.0,1376.4122369289398,9.734410451799395,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,11.0,535.0740645548774,7.0,669.8254218101501,10.81933786109785,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,12.0,575.8371528682162,6.0,575.8545422554016,11.957783788078373,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,13.0,601.2784189472019,11.0,988.8616306781769,12.982269016325954,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,14.0,641.4785233062679,26.0,2268.069055080414,13.895647692875443,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub0,0.98,15.0,678.7285939257744,9.0,800.8170676231384,14.887483293791728,EfficientBFS,EfficientBFS (ub0)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,6.0,332.9995976277473,1.0,198.34107542037964,5.973043973728588,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,7.0,381.6827077759318,1.0,190.74747514724731,6.988963521608006,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,8.0,400.23535000729504,2.0,279.6719558238983,7.994854452931519,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,9.0,435.99797546790063,5.0,566.4133427143097,8.29148845285618,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,10.0,479.7616192356273,2.0,262.13505935668945,9.376415862154637,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,11.0,535.0740645548774,1.0,181.43326091766357,10.81933786109785,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,12.0,575.8371528682162,1.0,182.733216047287,11.957783788078373,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,13.0,601.2784189472019,1.0,185.52203226089478,12.982269016325954,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,14.0,620.7603520539732,7.0,752.5362696647644,13.712053464547168,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.95,15.0,678.7285939257744,1.0,192.6539921760559,14.887483293791728,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,6.0,332.9995976277473,1.0,295.37044286727905,5.973043973728588,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,7.0,381.6827077759318,1.0,281.4207799434662,6.988963521608006,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,8.0,407.64305825897264,15.0,1459.8736310005188,7.850697868579635,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,9.0,448.33609283488715,22.0,2176.450028181076,8.830875774531378,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,10.0,491.76770842584773,14.0,1319.2899041175842,9.734410451799395,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,11.0,535.0740645548774,6.0,586.286333322525,10.81933786109785,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,12.0,575.8371528682162,5.0,504.02127170562744,11.957783788078373,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,13.0,601.2784189472019,10.0,1008.3343904018402,12.982269016325954,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,14.0,641.4785233062679,26.0,2277.694900035858,13.895647692875443,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBFS,traditional,ub2,0.98,15.0,678.7285939257744,8.0,825.0994515419006,14.887483293791728,EfficientBFS,EfficientBFS (ub2)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.95,6.0,332.9995976277473,2.0,157.61116480827332,5.973043973728588,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.95,7.0,381.6827077759318,2.0,152.85588884353638,6.988963521608006,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.95,8.0,400.23535000729504,5.0,392.8381698131561,7.994854452931519,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.95,10.0,479.7616192356273,5.0,480.7790951728821,9.376415862154637,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.95,11.0,535.0740645548774,2.0,136.17808556556702,10.81933786109785,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.95,12.0,575.8371528682162,2.0,139.32790088653564,11.957783788078373,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.95,13.0,601.2784189472019,3.0,273.4352011680603,12.982269016325954,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.95,15.0,678.7285939257744,3.0,277.8283886909485,14.887483293791728,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.98,6.0,332.9995976277473,2.0,120.6526985168457,5.973043973728588,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.98,7.0,381.6827077759318,2.0,122.13209795951843,6.988963521608006,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.98,11.0,535.0740645548774,4.0,429.08373522758484,10.81933786109785,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.98,12.0,575.8371528682162,4.0,431.7761583328247,11.957783788078373,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.98,13.0,601.2784189472019,5.0,539.4060542583466,12.982269016325954,EBB,EBB (ub0)
108,caltech,769,EfficientBranchAndBound,none,ub0,0.98,15.0,678.7285939257744,4.0,445.64260697364807,14.887483293791728,EBB,EBB (ub0)
