task,alpha,budget,algorithm,heuristic,aux_heuristic,series_label,node_count,tle
adult,0.98,13.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
adult,0.98,14.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,2449.0,True
adult,0.98,14.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
adult,0.98,15.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,2390.0,True
adult,0.98,15.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
caltech,0.95,6.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,6.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
caltech,0.95,6.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
caltech,0.95,6.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
caltech,0.95,7.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,7.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
caltech,0.95,7.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
caltech,0.95,7.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
caltech,0.95,8.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,8.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,2.0,False
caltech,0.95,8.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,2.0,False
caltech,0.95,8.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,5.0,False
caltech,0.95,9.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,9.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,5.0,False
caltech,0.95,9.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,5.0,False
caltech,0.95,9.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,45.0,True
caltech,0.95,10.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,10.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,5.0,False
caltech,0.95,11.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,11.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
caltech,0.95,11.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
caltech,0.95,11.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
caltech,0.95,12.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,12.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
caltech,0.95,12.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
caltech,0.95,12.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
caltech,0.95,13.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,13.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,3.0,False
caltech,0.95,13.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
caltech,0.95,13.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,3.0,False
caltech,0.95,14.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,14.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,9.0,False
caltech,0.95,14.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,7.0,False
caltech,0.95,14.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,51.0,True
caltech,0.95,15.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,2.0,True
caltech,0.95,15.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,3.0,False
caltech,0.95,15.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
caltech,0.95,15.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,3.0,False
caltech,0.95,16.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,5.0,False
caltech,0.95,16.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,3.0,False
caltech,0.95,17.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,3.0,False
caltech,0.95,17.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,3.0,False
caltech,0.95,18.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,5.0,False
caltech,0.95,18.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,5.0,False
caltech,0.95,19.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,5.0,False
caltech,0.95,19.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,5.0,False
caltech,0.95,20.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,9.0,False
caltech,0.95,20.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,5.0,False
caltech,0.98,6.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
caltech,0.98,6.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
caltech,0.98,7.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
caltech,0.98,7.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
caltech,0.98,8.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,15.0,False
caltech,0.98,8.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,15.0,False
caltech,0.98,9.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,23.0,False
caltech,0.98,9.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,22.0,False
