Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
caltech,769,0,BFSTC,,ub0,d,7.0,0.95,CalTechMaximization,381.6827077759318,6.988963521608006,5000.0,2,73.0,True,5
caltech,769,0,BFSTC,,ub0,d,8.0,0.95,CalTechMaximization,400.23535000729504,7.994854452931519,5000.0,2,77.0,True,6
caltech,769,0,BFSTC,,ub0,d,9.0,0.95,CalTechMaximization,435.99797546790063,8.29148845285618,5000.0,2,77.0,True,6
caltech,769,0,BFSTC,,ub0,d,10.0,0.95,CalTechMaximization,479.7616192356273,9.376415862154637,5000.0,2,78.0,True,7
caltech,769,0,BFSTC,,ub0,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,5000.0,2,77.0,True,8
caltech,769,0,BFSTC,,ub0,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,5000.0,2,77.0,True,9
caltech,769,0,BFSTC,,ub0,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,5000.0,2,77.0,True,10
caltech,769,0,BFSTC,,ub0,d,14.0,0.95,CalTechMaximization,614.7149698916422,13.045571040868357,5000.0,2,76.0,True,10
caltech,769,0,BFSTC,,ub0,d,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,5000.0,2,79.0,True,11
caltech,769,0,Efficient,,ub0,d,6.0,0.95,CalTechMaximization,332.9995976277473,5.973043973728588,113.38921451568604,2,,False,4
caltech,769,0,Efficient,,ub0,d,7.0,0.95,CalTechMaximization,381.6827077759318,6.988963521608006,115.4036955833435,2,,False,5
caltech,769,0,Efficient,,ub0,d,8.0,0.95,CalTechMaximization,400.23535000729504,7.994854452931519,310.46209621429443,5,,False,6
caltech,769,0,Efficient,,ub0,d,9.0,0.95,CalTechMaximization,435.99797546790063,8.29148845285618,5000.0,45,,True,6
caltech,769,0,Efficient,,ub0,d,10.0,0.95,CalTechMaximization,479.7616192356273,9.376415862154637,398.29548954963684,5,,False,7
caltech,769,0,Efficient,,ub0,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,112.31951403617859,2,,False,8
caltech,769,0,Efficient,,ub0,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,115.1003029346466,2,,False,9
caltech,769,0,Efficient,,ub0,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,227.5134527683258,3,,False,10
caltech,769,0,Efficient,,ub0,d,14.0,0.95,CalTechMaximization,614.7149698916422,13.045571040868357,5000.0,51,,True,10
caltech,769,0,Efficient,,ub0,d,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,237.47655272483826,3,,False,11
caltech,769,0,EfficientBFS,Standard,ub2,,6.0,0.95,,332.9995976277473,5.973043973728588,136.92270469665527,1,1.0,False,4
caltech,769,0,EfficientBFS,Standard,ub2,,6.0,0.98,,332.9995976277473,5.973043973728588,206.7723844051361,1,1.0,False,4
caltech,769,0,EfficientBFS,Standard,ub2,,7.0,0.95,,381.6827077759318,6.988963521608006,127.94030475616455,1,1.0,False,5
caltech,769,0,EfficientBFS,Standard,ub2,,8.0,0.95,,400.23535000729504,7.994854452931519,564.4276733398438,7,1.0,False,6
caltech,769,0,EfficientBFS,Standard,ub2,,9.0,0.95,,435.99797546790063,8.29148845285618,893.300799369812,11,1.0,False,6
caltech,769,0,EfficientBFS,Standard,ub2,,10.0,0.95,,479.7616192356273,9.376415862154637,554.5864360332489,7,1.0,False,7
caltech,769,0,EfficientBFS,Standard,ub2,,11.0,0.95,,535.0740645548774,10.81933786109785,225.13227105140686,2,1.0,False,8
caltech,1000,0,EfficientBFS,Standard,ub2,,12.0,0.95,,577.2621204173317,11.157694197742105,229.01840591430664,7,1.0,False,8
caltech,769,0,EfficientBFS,Standard,ub2,,12.0,0.95,,575.8371528682162,11.957783788078373,218.52827429771423,1,1.0,False,9
caltech,1000,0,EfficientBFS,Standard,ub2,,13.0,0.95,,636.8681450961042,12.682845883555677,191.6081986427307,5,1.0,False,9
caltech,769,0,EfficientBFS,Standard,ub2,,13.0,0.95,,601.2784189472019,12.982269016325954,370.8507385253906,3,1.0,False,10
caltech,1000,0,EfficientBFS,Standard,ub2,,14.0,0.95,,662.2277373691694,13.175003320637563,396.17784428596497,17,1.0,False,9
caltech,769,0,EfficientBFS,Standard,ub2,,14.0,0.95,,614.7149698916422,13.045571040868357,1128.3910739421844,12,1.0,False,10
caltech,769,0,EfficientBFS,Standard,ub2,,15.0,0.95,,678.7285939257744,14.887483293791728,5000.0,1,1.0,True,11
facebook,1000,0,BFSTC,,ub0,d,6.0,0.95,FacebookGraphCoverage,307.0,5.999296292853672,5000.0,29,5900.0,True,4
facebook,1000,0,BFSTC,,ub0,d,7.0,0.95,FacebookGraphCoverage,355.0,6.857308306150661,5000.0,991,3765.0,True,4
facebook,1000,0,BFSTC,,ub0,d,8.0,0.95,FacebookGraphCoverage,366.0,7.316542747250367,5000.0,8,4935.0,True,5
facebook,1000,0,BFSTC,,ub0,d,9.0,0.95,FacebookGraphCoverage,390.0,8.345062977913397,5000.0,7,5010.0,True,6
facebook,1000,0,BFSTC,,ub0,d,10.0,0.95,FacebookGraphCoverage,411.0,9.469966252407136,5000.0,6,4974.0,True,7
facebook,1000,0,BFSTC,,ub0,d,11.0,0.95,FacebookGraphCoverage,429.0,10.57309232610993,5000.0,6,4705.0,True,8
facebook,1000,0,BFSTC,,ub0,d,12.0,0.95,FacebookGraphCoverage,441.0,11.596802599317733,5000.0,6,4663.0,True,9
facebook,1000,0,BFSTC,,ub0,d,13.0,0.95,FacebookGraphCoverage,448.0,12.12286943466912,5000.0,6,4582.0,True,9
facebook,1000,0,BFSTC,,ub0,d,14.0,0.95,FacebookGraphCoverage,462.0,13.351527620372957,5000.0,6,4592.0,True,10
facebook,1000,0,BFSTC,,ub0,d,15.0,0.95,FacebookGraphCoverage,478.0,14.714463277969013,5000.0,6,4535.0,True,10
facebook,1000,0,Efficient,,ub0,d,6.0,0.95,FacebookGraphCoverage,307.0,5.999296292853672,5000.0,2128,,True,4
facebook,1000,0,Efficient,,ub0,d,7.0,0.95,FacebookGraphCoverage,335.0,6.039049562720425,5000.0,2342,,True,4
facebook,1000,0,Efficient,,ub0,d,8.0,0.95,FacebookGraphCoverage,366.0,7.316542747250367,5000.0,2413,,True,5
facebook,1000,0,Efficient,,ub0,d,9.0,0.95,FacebookGraphCoverage,390.0,8.345062977913397,5000.0,2504,,True,6
facebook,1000,0,Efficient,,ub0,d,10.0,0.95,FacebookGraphCoverage,411.0,9.469966252407136,5000.0,2022,,True,7
facebook,1000,0,Efficient,,ub0,d,11.0,0.95,FacebookGraphCoverage,429.0,10.57309232610993,5000.0,2005,,True,8
facebook,1000,0,Efficient,,ub0,d,12.0,0.95,FacebookGraphCoverage,441.0,11.596802599317733,5000.0,1998,,True,9
facebook,1000,0,Efficient,,ub0,d,13.0,0.95,FacebookGraphCoverage,448.0,12.12286943466912,5000.0,1535,,True,9
facebook,1000,0,Efficient,,ub0,d,14.0,0.95,FacebookGraphCoverage,462.0,13.351527620372957,5000.0,1981,,True,10
facebook,1000,0,Efficient,,ub0,d,15.0,0.95,FacebookGraphCoverage,478.0,14.714463277969013,5000.0,1733,,True,10
facebook,1000,0,EfficientBFS,Standard,ub2,,6.0,0.95,,307.0,5.999296292853672,24.036961793899536,11,1.0,False,4
facebook,1000,0,EfficientBFS,Standard,ub2,,6.0,0.98,,307.0,5.999296292853672,0.6146149635314941,1,1.0,False,4
facebook,1000,0,EfficientBFS,Standard,ub2,,6.0,1.0,,307.0,5.999296292853672,0.6120824813842773,1,1.0,False,4
facebook,1000,0,EfficientBFS,Standard,ub2,,7.0,0.95,,335.0,6.039049562720425,8.129221439361572,6,1.0,False,4
facebook,1000,0,EfficientBFS,Standard,ub2,,7.0,0.98,,335.0,6.039049562720425,0.767664909362793,1,1.0,False,4
facebook,1000,0,EfficientBFS,Standard,ub2,,8.0,0.95,,366.0,7.316542747250367,6.5927510261535645,5,1.0,False,5
facebook,1000,0,EfficientBFS,Standard,ub2,,8.0,0.98,,366.0,7.316542747250367,0.9423093795776367,1,1.0,False,5
facebook,1000,0,EfficientBFS,Standard,ub2,,9.0,0.95,,390.0,8.345062977913397,6.559407949447632,5,1.0,False,6
facebook,1000,0,EfficientBFS,Standard,ub2,,9.0,0.98,,390.0,8.345062977913397,1.1459875106811523,1,1.0,False,6
facebook,1000,0,EfficientBFS,Standard,ub2,,10.0,0.95,,411.0,9.469966252407136,7.72060751914978,5,1.0,False,7
facebook,1000,0,EfficientBFS,Standard,ub2,,10.0,0.98,,411.0,9.469966252407136,1.223926305770874,1,1.0,False,7
facebook,1000,0,EfficientBFS,Standard,ub2,,11.0,0.95,,429.0,10.57309232610993,7.68395733833313,5,1.0,False,8
facebook,1000,0,EfficientBFS,Standard,ub2,,11.0,0.98,,429.0,10.57309232610993,1.8531749248504639,1,1.0,False,8
facebook,1000,0,EfficientBFS,Standard,ub2,,12.0,0.95,,441.0,11.596802599317733,22.79048442840576,9,1.0,False,9
facebook,1000,0,EfficientBFS,Standard,ub2,,12.0,0.98,,441.0,11.596802599317733,2.0885751247406006,1,1.0,False,9
facebook,1000,0,EfficientBFS,Standard,ub2,,13.0,0.95,,448.0,12.12286943466912,34.748708963394165,14,1.0,False,9
facebook,1000,0,EfficientBFS,Standard,ub2,,13.0,0.98,,448.0,12.12286943466912,2.343930959701538,1,1.0,False,9
facebook,1000,0,EfficientBFS,Standard,ub2,,14.0,0.95,,462.0,13.351527620372957,29.26848864555359,12,1.0,False,10
