Source_File,Archive,Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size,Meta_Version,Meta_Created_UTC,Meta_Config_Path,Meta_Strategy_Raw,Flag_LocalSearch,Flag_Cascade,Flag_NoInherit,Flag_Adaptive,Adaptive_Ratio
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub0-d-20.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub0,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,32.92312502861023,16,1,False,11,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-10.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,20.531692266464233,1,1,False,7,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-11.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,18.412806749343872,1,1,False,8,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-12.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,17.984910249710083,1,1,False,8,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-13.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,19.579992532730103,1,1,False,9,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-14.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,19.13877558708191,1,1,False,9,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-15.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,20.15168523788452,1,1,False,10,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-16.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,20.330008506774902,1,1,False,10,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-17.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,19.369351625442505,1,1,False,10,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-18.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,19.671566247940063,1,1,False,11,v1,,,traditional,False,False,False,False,0.4
