Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
adult,111,0,EfficientBFS,traditional,ub2,d,,,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,64.9264190196991,10,1.0,False,6
adult,111,0,EfficientBFS,traditional,ub2,d,,,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,142.312668800354,28,1.0,False,7
adult,111,0,EfficientBFS,traditional,ub2,d,,,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,18.349956512451172,1,1.0,False,7
adult,111,0,EfficientBFS,traditional,ub2,d,,,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,19.90412735939026,1,1.0,False,8
adult,111,0,EfficientBFS,traditional,ub2,d,,,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,19.883538961410522,1,1.0,False,8
adult,111,0,EfficientBFS,traditional,ub2,d,,,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,21.512009620666504,1,1.0,False,9
adult,111,0,EfficientBFS,traditional,ub2,d,,,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,21.248295783996582,1,1.0,False,9
adult,111,0,EfficientBFS,traditional,ub2,d,,,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,21.836876153945923,1,1.0,False,10
adult,111,0,EfficientBFS,traditional,ub2,d,,,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,21.694297075271606,1,1.0,False,10
adult,111,0,EfficientBFS,traditional,ub2,d,,,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,21.484901428222656,1,1.0,False,10
adult,111,0,EfficientBFS,traditional,ub2,d,,,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,21.610479593276978,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,21.990739583969116,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,22.18690013885498,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,21.923686742782593,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,21.938872575759888,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,22.244831800460815,1,1.0,False,12
adult,111,0,EfficientBFS,traditional,ub2,d,,,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,23.465442895889282,1,1.0,False,13
adult,111,0,EfficientBFS,traditional,ub2,d,,,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,23.670976638793945,1,1.0,False,14
adult,111,0,EfficientBFS,traditional,ub2,d,,,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,22.921091079711914,1,1.0,False,15
adult,111,0,EfficientBFS,traditional,ub2,d,,,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,21.966617822647095,1,1.0,False,16
adult,111,0,EfficientBFS,traditional,ub2,d,,,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,22.836366891860962,1,1.0,False,16
adult,111,0,EfficientBFS,traditional,ub2,d,,,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,22.446210622787476,1,1.0,False,17
adult,111,0,EfficientBFS,traditional,ub2,d,,,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,22.61435079574585,1,1.0,False,18
caltech,769,0,BFSTC,,,,ub0,d,6.0,0.95,CalTechMaximization,332.9995976277473,5.973043973728588,5025.898359537125,2,67.0,True,4
caltech,769,0,BFSTC,,,,ub0,d,7.0,0.95,CalTechMaximization,381.6827077759318,6.988963521608006,5043.798418998718,2,73.0,True,5
caltech,769,0,BFSTC,,,,ub0,d,8.0,0.95,CalTechMaximization,400.23535000729504,7.994854452931519,5053.851286411285,2,77.0,True,6
caltech,769,0,BFSTC,,,,ub0,d,9.0,0.95,CalTechMaximization,435.99797546790063,8.29148845285618,5008.398464441299,2,77.0,True,6
caltech,769,0,BFSTC,,,,ub0,d,10.0,0.95,CalTechMaximization,479.7616192356273,9.376415862154637,5053.353444337845,2,78.0,True,7
caltech,769,0,BFSTC,,,,ub0,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,5014.831328392029,2,77.0,True,8
caltech,769,0,BFSTC,,,,ub0,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,5058.186357498169,2,77.0,True,9
caltech,769,0,BFSTC,,,,ub0,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,5038.1527597904205,2,77.0,True,10
caltech,769,0,BFSTC,,,,ub0,d,14.0,0.95,CalTechMaximization,614.7149698916422,13.045571040868357,5022.399919509888,2,76.0,True,10
caltech,769,0,BFSTC,,,,ub0,d,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,5038.508911371231,2,79.0,True,11
caltech,769,0,Efficient,,,,ub0,d,6.0,0.95,CalTechMaximization,332.9995976277473,5.973043973728588,113.38921451568604,2,,False,4
caltech,769,0,Efficient,,,,ub0,d,7.0,0.95,CalTechMaximization,381.6827077759318,6.988963521608006,115.4036955833435,2,,False,5
caltech,769,0,Efficient,,,,ub0,d,8.0,0.95,CalTechMaximization,400.23535000729504,7.994854452931519,310.46209621429443,5,,False,6
caltech,769,0,Efficient,,,,ub0,d,9.0,0.95,CalTechMaximization,435.99797546790063,8.29148845285618,5000.034203290939,45,,True,6
caltech,769,0,Efficient,,,,ub0,d,10.0,0.95,CalTechMaximization,479.7616192356273,9.376415862154637,398.29548954963684,5,,False,7
caltech,769,0,Efficient,,,,ub0,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,112.31951403617859,2,,False,8
caltech,769,0,Efficient,,,,ub0,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,115.1003029346466,2,,False,9
caltech,769,0,Efficient,,,,ub0,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,227.5134527683258,3,,False,10
caltech,769,0,Efficient,,,,ub0,d,14.0,0.95,CalTechMaximization,614.7149698916422,13.045571040868357,5000.38041973114,51,,True,10
caltech,769,0,Efficient,,,,ub0,d,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,237.47655272483826,3,,False,11
caltech,769,0,EfficientBFS,traditional,ub2,d,,,6.0,0.95,CalTechMaximization,332.9995976277473,5.973043973728588,152.1859745979309,1,1.0,False,4
caltech,769,0,EfficientBFS,traditional,ub2,d,,,7.0,0.95,CalTechMaximization,381.6827077759318,6.988963521608006,151.53071570396423,1,1.0,False,5
caltech,769,0,EfficientBFS,traditional,ub2,d,,,8.0,0.95,CalTechMaximization,400.23535000729504,7.994854452931519,227.4498233795166,2,1.0,False,6
caltech,769,0,EfficientBFS,traditional,ub2,d,,,9.0,0.95,CalTechMaximization,435.99797546790063,8.29148845285618,470.4857769012451,5,1.0,False,6
caltech,769,0,EfficientBFS,traditional,ub2,d,,,10.0,0.95,CalTechMaximization,479.7616192356273,9.376415862154637,234.87650084495544,2,1.0,False,7
caltech,769,0,EfficientBFS,traditional,ub2,d,,,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,164.5647737979889,1,1.0,False,8
caltech,769,0,EfficientBFS,traditional,ub2,d,,,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,165.42668342590332,1,1.0,False,9
caltech,769,0,EfficientBFS,traditional,ub2,d,,,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,168.79339504241943,1,1.0,False,10
caltech,769,0,EfficientBFS,traditional,ub2,d,,,14.0,0.95,CalTechMaximization,614.7149698916422,13.045571040868357,669.8199899196625,7,1.0,False,10
caltech,769,0,EfficientBFS,traditional,ub2,d,,,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,173.28959345817566,1,1.0,False,11
facebook,1000,0,BFSTC,,,,ub0,d,6.0,0.95,FacebookGraphCoverage,307.0,5.999296292853672,5000.715343236923,29,5900.0,True,4
facebook,1000,0,BFSTC,,,,ub0,d,7.0,0.95,FacebookGraphCoverage,355.0,6.857308306150661,5000.783350944519,991,3765.0,True,4
facebook,1000,0,BFSTC,,,,ub0,d,8.0,0.95,FacebookGraphCoverage,366.0,7.316542747250367,5000.2313096523285,8,4935.0,True,5
facebook,1000,0,BFSTC,,,,ub0,d,9.0,0.95,FacebookGraphCoverage,390.0,8.345062977913397,5000.448041915894,7,5010.0,True,6
facebook,1000,0,BFSTC,,,,ub0,d,10.0,0.95,FacebookGraphCoverage,411.0,9.469966252407136,5000.939079284668,6,4974.0,True,7
facebook,1000,0,BFSTC,,,,ub0,d,11.0,0.95,FacebookGraphCoverage,429.0,10.57309232610993,5000.014950752258,6,4705.0,True,8
facebook,1000,0,BFSTC,,,,ub0,d,12.0,0.95,FacebookGraphCoverage,441.0,11.596802599317733,5001.230336666107,6,4663.0,True,9
facebook,1000,0,BFSTC,,,,ub0,d,13.0,0.95,FacebookGraphCoverage,448.0,12.12286943466912,5000.616335868835,6,4582.0,True,9
facebook,1000,0,BFSTC,,,,ub0,d,14.0,0.95,FacebookGraphCoverage,462.0,13.351527620372957,5001.754254579544,6,4592.0,True,10
facebook,1000,0,BFSTC,,,,ub0,d,15.0,0.95,FacebookGraphCoverage,478.0,14.714463277969013,5001.320256471634,6,4535.0,True,10
facebook,1000,0,Efficient,,,,ub0,d,6.0,0.95,FacebookGraphCoverage,307.0,5.999296292853672,5000.385300159454,2128,,True,4
facebook,1000,0,Efficient,,,,ub0,d,7.0,0.95,FacebookGraphCoverage,335.0,6.039049562720425,5000.1009068489075,2342,,True,4
facebook,1000,0,Efficient,,,,ub0,d,8.0,0.95,FacebookGraphCoverage,366.0,7.316542747250367,5000.356286048889,2413,,True,5
facebook,1000,0,Efficient,,,,ub0,d,9.0,0.95,FacebookGraphCoverage,390.0,8.345062977913397,5000.102979660034,2504,,True,6
facebook,1000,0,Efficient,,,,ub0,d,10.0,0.95,FacebookGraphCoverage,411.0,9.469966252407136,5000.003976345062,2022,,True,7
facebook,1000,0,Efficient,,,,ub0,d,11.0,0.95,FacebookGraphCoverage,429.0,10.57309232610993,5000.522864341736,2005,,True,8
facebook,1000,0,Efficient,,,,ub0,d,12.0,0.95,FacebookGraphCoverage,441.0,11.596802599317733,5000.006811141968,1998,,True,9
facebook,1000,0,Efficient,,,,ub0,d,13.0,0.95,FacebookGraphCoverage,448.0,12.12286943466912,5000.751431465149,1535,,True,9
facebook,1000,0,Efficient,,,,ub0,d,14.0,0.95,FacebookGraphCoverage,462.0,13.351527620372957,5000.010445833206,1981,,True,10
facebook,1000,0,Efficient,,,,ub0,d,15.0,0.95,FacebookGraphCoverage,478.0,14.714463277969013,5000.008182287216,1733,,True,10
facebook,1000,0,Efficient,,,,ub0,d,16.0,0.95,FacebookGraphCoverage,489.0,15.738173551176818,5000.013981103897,1735,,True,11
facebook,1000,0,Efficient,,,,ub0,d,17.0,0.95,FacebookGraphCoverage,495.0,16.267666269729773,5000.003478765488,1704,,True,11
facebook,1000,0,Efficient,,,,ub0,d,18.0,0.95,FacebookGraphCoverage,506.0,17.291376542937577,5000.523802280426,1837,,True,12
facebook,1000,0,Efficient,,,,ub0,d,19.0,0.95,FacebookGraphCoverage,517.0,18.35051222762937,5000.899609565735,1608,,True,13
facebook,1000,0,Efficient,,,,ub0,d,20.0,0.95,FacebookGraphCoverage,527.0,19.38904518236049,5000.536179304123,1604,,True,14
facebook,1000,0,Efficient,,,,ub0,d,21.0,0.95,FacebookGraphCoverage,537.0,20.617703368064326,5000.295103788376,1704,,True,15
facebook,1000,0,Efficient,,,,ub0,d,22.0,0.95,FacebookGraphCoverage,547.0,21.94363150673523,5000.982728481293,1353,,True,16
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,6.0,0.95,FacebookGraphCoverage,307.0,5.999296292853672,0.23579692840576172,1,1.0,False,4
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,7.0,0.95,FacebookGraphCoverage,335.0,6.039049562720425,0.44007229804992676,1,1.0,False,4
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,8.0,0.95,FacebookGraphCoverage,366.0,7.316542747250367,0.5844457149505615,1,1.0,False,5
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,9.0,0.95,FacebookGraphCoverage,390.0,8.345062977913397,0.8222150802612305,1,1.0,False,6
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,10.0,0.95,FacebookGraphCoverage,411.0,9.469966252407136,1.0216689109802246,1,1.0,False,7
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,11.0,0.95,FacebookGraphCoverage,429.0,10.57309232610993,1.403075933456421,1,1.0,False,8
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,12.0,0.95,FacebookGraphCoverage,441.0,11.596802599317733,1.953615665435791,1,1.0,False,9
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,13.0,0.95,FacebookGraphCoverage,448.0,12.12286943466912,12.69350552558899,7,1.0,False,9
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,14.0,0.95,FacebookGraphCoverage,462.0,13.351527620372957,12.806713819503784,7,1.0,False,10
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,15.0,0.95,FacebookGraphCoverage,478.0,14.714463277969013,44.725202560424805,20,1.0,False,10
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,16.0,0.95,FacebookGraphCoverage,489.0,15.738173551176818,46.51493430137634,21,1.0,False,11
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,17.0,0.95,FacebookGraphCoverage,495.0,16.267666269729773,55.039016008377075,23,1.0,False,11
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,18.0,0.95,FacebookGraphCoverage,506.0,17.291376542937577,70.92628383636475,27,1.0,False,12
