Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,traditional,False,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,17.688666105270386,1,1,9
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,17.66785168647766,1,1,9
adult,111,0,EfficientBFS,density_gap,False,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,18.417367935180664,1,1,9
adult,111,0,EfficientBFS,injection,False,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,18.130542516708374,1,1,9
adult,111,0,EfficientBFS,probing,False,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,18.327933073043823,1,1,9
adult,111,0,EfficientBFS,traditional,False,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,17.715217351913452,1,1,9
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,17.92886233329773,1,1,9
adult,111,0,EfficientBFS,density_gap,False,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.563002347946167,1,1,10
adult,111,0,EfficientBFS,injection,False,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.82972264289856,1,1,10
adult,111,0,EfficientBFS,probing,False,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.37167739868164,1,1,10
adult,111,0,EfficientBFS,traditional,False,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.49107003211975,1,1,10
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,17.85261559486389,1,1,10
adult,111,0,EfficientBFS,density_gap,False,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,17.92660880088806,1,1,10
adult,111,0,EfficientBFS,injection,False,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,18.565108060836792,1,1,10
adult,111,0,EfficientBFS,probing,False,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,18.7254638671875,1,1,10
adult,111,0,EfficientBFS,traditional,False,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,18.72608232498169,1,1,10
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,18.50312376022339,1,1,10
adult,111,0,EfficientBFS,density_gap,False,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.31125545501709,1,1,10
adult,111,0,EfficientBFS,injection,False,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.581916093826294,1,1,10
adult,111,0,EfficientBFS,probing,False,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.150680541992188,1,1,10
adult,111,0,EfficientBFS,traditional,False,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.05832028388977,1,1,10
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.262459993362427,1,1,10
