Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,ub2,d,,,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.509318351745605,1,1.0,False,10
adult,111,0,EfficientBFS,fullbab,ub2,d,,,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,25.220507860183716,1,1.0,False,10
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.295443296432495,1,1.0,False,10
adult,111,0,EfficientBFS,traditional,ub2,d,,,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.792745113372803,1,1.0,False,10
adult,111,0,EfficientBFS,density_gap,ub2,d,,,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,18.95372462272644,1,1.0,False,10
adult,111,0,EfficientBFS,fullbab,ub2,d,,,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,21.78961944580078,1,1.0,False,10
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,18.959712028503418,1,1.0,False,10
adult,111,0,EfficientBFS,traditional,ub2,d,,,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,19.42991304397583,1,1.0,False,10
adult,111,0,EfficientBFS,density_gap,ub2,d,,,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.10439944267273,1,1.0,False,10
adult,111,0,EfficientBFS,fullbab,ub2,d,,,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,21.664754152297974,1,1.0,False,10
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.77658176422119,1,1.0,False,10
adult,111,0,EfficientBFS,traditional,ub2,d,,,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.41235661506653,1,1.0,False,10
adult,111,0,EfficientBFS,density_gap,ub2,d,,,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,18.532795906066895,1,1.0,False,11
adult,111,0,EfficientBFS,fullbab,ub2,d,,,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,21.786085605621338,1,1.0,False,11
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,19.43785834312439,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,18.190171480178833,1,1.0,False,11
adult,111,0,EfficientBFS,density_gap,ub2,d,,,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.77397108078003,1,1.0,False,11
adult,111,0,EfficientBFS,fullbab,ub2,d,,,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,21.525070667266846,1,1.0,False,11
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.535348892211914,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.568010330200195,1,1.0,False,11
adult,111,0,EfficientBFS,density_gap,ub2,d,,,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,18.078550815582275,1,1.0,False,11
adult,111,0,EfficientBFS,fullbab,ub2,d,,,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,21.824047088623047,1,1.0,False,11
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,19.04493260383606,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,18.92314076423645,1,1.0,False,11
adult,111,0,EfficientBFS,density_gap,ub2,d,,,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.7643461227417,1,1.0,False,11
adult,111,0,EfficientBFS,fullbab,ub2,d,,,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,21.73971915245056,1,1.0,False,11
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.36177349090576,1,1.0,False,11
