Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,29.113479375839233,5,1,5
adult,111,0,EfficientBFS,look_ahead,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,30.124027013778687,4,1,5
adult,111,0,EfficientBFS,traditional,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,32.1396644115448,5,1,5
adult,111,0,EfficientBFS,density_gap,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,59.563825368881226,22,1,6
adult,111,0,EfficientBFS,look_ahead,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,64.52678036689758,17,1,6
adult,111,0,EfficientBFS,traditional,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,54.6501784324646,22,1,6
adult,111,0,EfficientBFS,density_gap,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,64.32674765586853,13,1,6
adult,111,0,EfficientBFS,look_ahead,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,59.28591322898865,7,1,6
adult,111,0,EfficientBFS,traditional,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,60.66512656211853,13,1,6
adult,111,0,EfficientBFS,density_gap,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,150.8396337032318,35,1,7
adult,111,0,EfficientBFS,look_ahead,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,159.03496646881104,29,1,7
